"","Sp","Pot_Area","Hab_Area","BAU_Area","Hab_perc","BAU_perc","Ext_015","Ext_025","Ext_035"
"1","Acrocomia emensis",273612.994070596,83273.5199345292,107065.954201538,0.304347826086957,0.391304347826087,0.131285238987326,0.209087083067153,0.279921016373638
"2","Actinocephalus cipoensis",71377.3028010251,23792.4342670083,71377.3028010251,0.333333333333333,1,0,0,0
"3","Aeschynomene laca-buendiana",59481.0856675209,23792.4342670083,59481.0856675209,0.4,1,0,0,0
"4","Agalinis brachyphylla",1998564.4784287,1320480.10181896,1891498.52422716,0.660714285714286,0.946428571428571,0.00822495501086173,0.013670640640756,0.0190864248407548
"5","Agalinis nana",475848.685340167,249820.559803588,416367.599672646,0.525,0.875,0.0198304468788473,0.0328317898661653,0.0456606780787604
"6","Agalinis schwackeana",1165829.27908341,844631.416478796,1130140.6276829,0.724489795918367,0.969387755102041,0.00465273041878589,0.00774251785960955,0.0108227138877461
"7","Alcantarea duarteana",1142036.8448164,773254.113677771,1106348.19341589,0.677083333333333,0.96875,0.00475098295367515,0.00790575838205954,0.0110505336920484
"8","Aldama corumbensis",499641.119607175,285509.2112041,237924.342670083,0.571428571428572,0.476190476190476,0.105321284016383,0.169298152558721,0.228700150105068
"9","Aldama filifolia",3545072.70578424,2545790.46656989,3176289.97464561,0.718120805369127,0.895973154362416,0.0163417254580288,0.0270875760125149,0.0377160348801439
"10","Aldama goyazii",1879602.30709366,571018.4224082,737565.462277259,0.30379746835443,0.392405063291139,0.13091913012191,0.208531471261987,0.279212724967026
"11","Aldama linearifolia",725669.245143755,107065.954201538,107065.954201538,0.147540983606557,0.147540983606557,0.249523839341634,0.380233398932559,0.488177426633084
"12","Aldama vernonioides",1368064.97035298,654291.94234273,1058763.32488187,0.478260869565217,0.773913043478261,0.0377147588502117,0.0620643536739217,0.0857978081447253
"13","Alstroemeria brasiliensis",1177725.49621691,487744.902473671,594810.856675209,0.414141414141414,0.505050505050505,0.0973898322590917,0.15698810535159,0.212651175537503
"14","Alstroemeria orchidioides",273612.994070596,107065.954201538,214131.908403075,0.391304347826087,0.782608695652174,0.0361006212456233,0.0594407318359024,0.0822156789097672
"15","Alternanthera decurrens",71377.3028010251,47584.8685340167,47584.8685340167,0.666666666666667,0.666666666666667,0.0590071768097505,0.0963979963901552,0.132303073088744
"16","Alternanthera januarensis",95169.7370680334,83273.5199345292,83273.5199345292,0.875,0.875,0.0198304468788473,0.0328317898661653,0.0456606780787604
"17","Altoparadisium chapadense",178443.257002563,178443.257002563,178443.257002563,1,1,0,0,0
