,Sp,Pot_Area,Hab_Area,BAU_Area,,,,
1,Acrocomia emensis,275397.7798,35921.44954,23947.63303,0.39,,,
2,Actinocephalus cipoensis,71842.89908,11973.81651,11973.81651,0.30,,,
3,Aeschynomene laca-buendiana,59869.08257,11973.81651,0,1.00,,,
4,Agalinis brachyphylla,2011601.174,670533.7248,574743.1927,0.22,,,
5,Agalinis nana,478952.6606,203554.8807,203554.8807,0.16,,,
6,Agalinis schwackeana,1173434.018,383162.1284,347240.6789,0.22,,,
7,Alcantarea duarteana,1149486.385,371188.3119,323293.0459,0.22,,,
8,Aldama corumbensis,502900.2936,215528.6972,107764.3486,0.27,,,
9,Aldama filifolia,3568197.321,670533.7248,634612.2752,0.29,,,
10,Aldama goyazii,1891863.009,191581.0642,179607.2477,0.38,,,
11,Aldama linearifolia,730402.8073,59869.08257,23947.63303,0.50,,,
12,Aldama vernonioides,1376988.899,203554.8807,167633.4312,0.34,,,
13,Alstroemeria brasiliensis,1185407.835,263423.9633,167633.4312,0.32,,,
14,Alstroemeria orchidioides,275397.7798,83816.7156,71842.89908,0.24,,,
15,Alternanthera decurrens,71842.89908,47895.26606,47895.26606,0.08,,,
16,Alternanthera januarensis,95790.53211,71842.89908,71842.89908,0.06,,,
17,Altoparadisium chapadense,179607.2477,59869.08257,59869.08257,0.20,,,
18,Anemopaegma arvense,36280664.04,5615719.945,4083071.431,0.35,,,
19,Anemopaegma mirabile,610664.6422,227502.5138,227502.5138,0.18,,,
20,Angelonia alternifolia,83817,0,0,1.00,,,
21,Anteremanthus hatschbachii,1089617.303,455005.0275,419083.578,0.17,,,
22,Arrojadoa eriocaulis,586717.0092,251450.1468,227502.5138,0.17,,,
23,Arthrocereus melanurus_subsp._odorus,1365015.083,443031.211,407109.7615,0.21,,,
24,Arthropogon xerachne,167633.4312,11973.81651,0,1.00,,,
25,Arundinella deppeana,538821.7431,47895.26606,11973.81651,0.53,,,
26,Aspilia belo-horizontinae,47895.26606,11973.81651,11973.81651,0.24,,,
27,Aspilia cordifolia,1951732.092,610664.6422,526847.9266,0.23,,,
28,Aspilia cylindrocephala,1879889.193,215528.6972,179607.2477,0.37,,,
29,Aspilia diamantinae,706455.1743,287371.5963,263423.9633,0.18,,,
30,Aspilia diffusiflora,1269224.55,335266.8624,311319.2294,0.25,,,
31,Aspilia eglerii,694481.3578,275397.7798,251450.1468,0.18,,,
32,Aspilia espinhacensis,1161460.202,323293.0459,299345.4128,0.24,,,
33,Aspilia jugata,179607.2477,71842.89908,71842.89908,0.17,,,
34,Aspilia pereirae,2059496.44,287371.5963,215528.6972,0.36,,,
35,Aspilia prostrata,143685.7982,59869.08257,35921.44954,0.24,,,
36,Aspilia reticulata,1772124.844,598690.8257,514874.1101,0.22,,,
37,Astraea cincta,4897290.954,550795.5596,371188.3119,0.40,,,
38,Attalea barreirensis,1999627.358,239476.3303,143685.7982,0.41,,,
39,Attalea brasiliensis,898036.2385,179607.2477,143685.7982,0.31,,,
40,Axonopus hydrolithicus,1269224.55,275397.7798,275397.7798,0.26,,,
41,Baccharis concinna,1915810.642,634612.2752,538821.7431,0.22,,,
42,Baccharis elliptica,1520674.697,431057.3945,371188.3119,0.25,,,
43,Baccharis pseudoalpestris,3855568.917,1305146,1125538.752,0.22,,,
44,Banisteriopsis andersonii,2203182.239,706455.1743,598690.8257,0.23,,,
45,Banisteriopsis cipoensis,5316374.532,1269224.55,1149486.385,0.26,,,
46,Banisteriopsis hatschbachii,3568197.321,742376.6239,706455.1743,0.28,,,
47,Banisteriopsis hirsuta,1353041.266,239476.3303,227502.5138,0.30,,,
48,Barbacenia delicatula,143685.7982,35921.44954,35921.44954,0.24,,,
49,Barbacenia glutinosa,71842.89908,23947.63303,23947.63303,0.20,,,
50,Barbacenia longiscapa,191581.0642,35921.44954,35921.44954,0.28,,,
51,Barbacenia paranaensis,323293,0,0,1.00,,,
52,Barbacenia pungens,71843,0,0,1.00,,,
53,Barbacenia rodriguesii,71843,0,0,1.00,,,
54,Barbacenia spiralis,694481.3578,275397.7798,251450.1468,0.18,,,
55,Bernardia crassifolia,1903836.826,622638.4587,526847.9266,0.23,,,
